date,rainfall_mm,temp_min,temp_max,humidity_pct,pressure_hpa,wind_speed_kmh,wind_dir_deg,cloud_pct,leaf_wetness_h,d_pressure_intraday,pressure_drop_today,cloud_evening,cloud_trend,dewpoint_depression_pm,wind_veer,precip_hours_today,rh_evening_excess
2016-02-01,0.0,5.4,9.4,96.0,1021.6,3.9,129.0,98.0,21.0,7.2000000000000455,4.716666666666697,97.85714285714286,-2.142857142857139,1.4142857142857146,-65.5902538438565,0.0,-0.3333333333333286
2016-02-02,0.0,5.6,8.2,97.0,1025.6,4.7,200.0,100.0,24.0,-2.599999999999909,2.870833333333394,99.71428571428571,-0.2857142857142918,0.9428571428571427,37.53599529945325,0.0,-1.3333333333333286
2016-02-03,10.3,6.1,8.7,97.0,1016.4,7.3,48.0,99.0,24.0,-7.899999999999977,5.500000000000114,99.85714285714286,1.7142857142857224,0.4285714285714288,-119.83779853487098,15.0,-4.041666666666671
2016-02-04,1.0,4.4,11.5,73.0,1021.2,13.3,233.0,32.0,6.0,0.5,5.912500000000136,17.571428571428573,9.857142857142858,10.1,-92.55055779701692,3.0,-1.1666666666666714
2016-02-05,0.0,1.9,10.3,81.0,1025.1,10.0,73.0,5.0,7.0,5.800000000000068,3.841666666666697,3.4285714285714284,-1.1428571428571428,5.528571428571428,22.312576107150846,0.0,3.0
2016-02-06,0.0,3.0,10.3,85.0,1028.3,8.5,61.0,39.0,14.0,-3.300000000000182,3.0958333333335304,92.42857142857143,90.57142857142857,4.942857142857142,163.70712380888835,0.0,2.333333333333343
2016-02-07,15.3,3.9,9.6,95.0,1018.3,11.4,146.0,96.0,24.0,-6.699999999999932,4.0833333333332575,99.85714285714286,0.142857142857153,1.0142857142857145,-4.661365443205057,16.0,-2.666666666666657
2016-02-08,15.6,7.9,10.1,93.0,1014.4,8.5,208.0,94.0,21.0,1.0,1.1416666666667652,98.14285714285714,2.0,1.4857142857142853,-11.262356320437192,13.0,-0.6666666666666714
2016-02-09,6.0,6.2,10.9,92.0,1010.8,8.3,188.0,83.0,18.0,-8.299999999999955,12.375000000000227,96.42857142857143,9.0,2.414285714285714,12.516049203639284,7.0,-1.7083333333333286
2016-02-10,8.4,5.8,12.1,71.0,994.6,17.8,244.0,78.0,9.0,8.300000000000068,5.962499999999977,70.85714285714286,-14.142857142857139,11.171428571428573,4.89896994544489,6.0,-15.75
2016-02-11,0.0,-0.1,10.6,79.0,1006.4,9.6,55.0,19.0,3.0,2.5,4.108333333333462,26.714285714285715,19.142857142857146,5.371428571428573,76.5239440750471,0.0,9.5
2016-02-12,6.0,3.5,8.9,84.0,1004.9,14.3,54.0,94.0,11.0,-4.600000000000023,6.420833333333576,99.71428571428571,7.285714285714278,4.4,50.2882464259078,4.0,2.125
2016-02-13,4.2,2.4,8.8,84.0,996.5,12.0,318.0,67.0,9.0,2.0,1.875,70.85714285714286,38.57142857142858,4.742857142857143,-120.6545619948206,6.0,-4.458333333333329
2016-02-14,14.4,4.1,7.9,89.0,994.5,13.8,27.0,91.0,13.0,-3.7000000000000455,3.4166666666667425,99.42857142857143,0.4285714285714306,1.5,-47.10962755234698,10.0,-0.125
2016-02-15,7.5,4.7,12.3,85.0,1003.3,12.8,44.0,97.0,17.0,8.700000000000045,6.179166666666674,99.71428571428571,8.285714285714278,5.228571428571429,69.24765708554963,6.0,-1.1666666666666572
2016-02-16,7.6,7.3,12.0,70.0,1020.6,28.2,47.0,94.0,12.0,4.100000000000023,6.045833333333462,98.85714285714286,16.142857142857153,8.457142857142857,8.571480258977147,15.0,-5.083333333333343
2016-02-17,17.8,5.9,9.8,86.0,1018.9,17.6,46.0,97.0,16.0,0.6000000000000227,1.1125000000002956,90.57142857142857,-9.285714285714292,2.6714285714285713,98.82975250937312,14.0,4.958333333333343
2016-02-18,0.6,3.5,13.0,82.0,1014.2,10.5,280.0,38.0,10.0,-5.099999999999909,3.5291666666664696,14.714285714285714,-1.8571428571428594,6.685714285714285,-35.97597776949368,2.0,-6.125
2016-02-19,4.1,4.5,10.7,85.0,1014.9,9.3,274.0,61.0,8.0,4.399999999999977,3.5125000000000455,46.0,-15.857142857142854,4.1571428571428575,-170.35059879722388,5.0,3.708333333333343
2016-02-20,4.1,4.6,11.4,75.0,1022.8,12.1,36.0,44.0,6.0,2.199999999999932,3.3541666666666288,62.0,53.714285714285715,8.414285714285715,-154.9728308165672,6.0,-2.0
2016-02-21,0.0,4.5,10.1,78.0,1021.5,7.6,161.0,46.0,1.0,0.09999999999990905,0.8249999999999318,15.142857142857142,-57.42857142857143,5.942857142857142,-112.50200833061538,0.0,3.5
2016-02-22,0.1,6.2,10.7,89.0,1019.2,7.3,98.0,80.0,13.0,-3.1000000000000227,2.766666666666538,93.0,17.0,2.3,34.34886887250158,0.0,3.0
2016-02-23,1.2,7.6,12.6,91.0,1011.4,7.6,205.0,75.0,16.0,-4.300000000000068,3.0541666666666742,66.42857142857143,-5.0,2.9857142857142853,9.667071016445817,4.0,0.25
2016-02-24,0.8,6.8,11.3,74.0,1013.4,11.2,84.0,65.0,7.0,4.7000000000000455,5.179166666666561,92.42857142857143,54.714285714285715,9.085714285714285,50.746591763687206,2.0,-4.25
2016-02-25,3.1,5.4,8.6,80.0,1011.5,6.8,88.0,90.0,6.0,-4.199999999999932,2.8416666666668107,86.28571428571429,-11.857142857142847,4.771428571428571,98.42832972226194,6.0,-1.7916666666666572
2016-02-26,0.0,3.6,9.5,73.0,1010.4,12.6,56.0,63.0,6.0,1.8999999999999773,1.8875000000001592,72.42857142857143,-0.5714285714285694,8.32857142857143,2.705597091670967,0.0,-5.375
2016-02-27,13.4,5.5,7.2,78.0,1010.0,19.5,49.0,100.0,14.0,-0.10000000000002274,0.7791666666665833,100.0,1.0,2.4285714285714284,-13.71872724457944,16.0,11.791666666666671
2016-02-28,35.3,6.8,10.3,92.0,1008.3,25.5,52.0,100.0,24.0,-1.1000000000000227,3.14999999999975,100.0,0.0,1.1285714285714288,1.8554660331534194,24.0,-1.5833333333333428
